Pretty Formula,Density,Band Gap
SrB6,3.41706056581185,0.03479999999999972
Nb3B4,7.200765353611398,0.0032000000000005357
TcB,0.1231782922436769,1.4291
SnB6,4.110239816406315,0.7526999999999999
BSb,5.974004928960782,0.7525999999999993
BI3,3.1014613936521105,2.6818
BaB6,4.281989359501503,0.0354000000000001
EuB6,5.0132124133983655,0.6101000000000001
YbB6,5.614595438403912,0.02120000000000033
LuB2,9.640358754695297,0.12119999999999997
B6Pb,6.00381988528919,0.9208999999999996
BiB,8.617189402203188,0.00010000000000065512
CN2,2.5506277425143438,4.6433
CO2,3.0181864305807915,6.7726999999999995
C3F2,1.9215210663334668,2.9477
NaC,1.598476294235524,3.3914
Mg2C3,2.2016133496790697,1.6533000000000002
Al4C3,2.9308029396903637,1.3528000000000002
SiC,3.1727482430263216,1.9914999999999985
CS5,0.4752486774071221,0.5392999999999999
C7Cl8,1.9372119863856214,3.0327
KC10,2.0640205396999907,0.6144000000000003
CaC2,2.193301172540574,1.3527
Sc2C3,3.6603080130066843,0.014199999999999768
Mn23C6,7.843043126262275,0.002400000000000624
Fe3C,0.343036215867144,0.07570000000000032
GeC,5.783989580647134,2.3598
CSe2,2.7893519392090558,2.3535
C15Br7,2.9947894981361136,1.2305000000000001
RbC2,2.180093893054295,0.11339999999999995
SrC2,3.1501872259511647,2.2909
Y4C7,4.541710081014056,0.6144999999999996
ZrC,5.150547264153043,0.5028000000000001
RuC,7.892880871714976,0.6801999999999992
SnC,6.588144779927546,0.6257000000000001
CI4,3.9257829490911345,1.1002999999999998
CsC,3.701897230161852,3.1050999999999997
BaC10,3.5474899048537223,0.1988000000000003
EuC10,4.09107047114651,0.2464000000000004
Ho4C7,7.857241507408396,0.5866999999999996
YbC2,6.992808010747606,1.0344
HfC,9.868233973746744,0.32209999999999983
Os2C3,14.056193723349182,0.07920000000000016
Ir4C5,14.367745830064976,0.44980000000000153
NO4,2.0936240082276054,0.33299999999999996
N2F,1.4712280503517579,0.8492999999999999
NaN3,1.7411107613820707,4.1512
Mg3N2,2.661927823186272,1.5098999999999996
AlN,3.200889640442182,4.054000000000001
Si3N4,3.94604103230835,3.3331999999999997
P3N5,2.693616412033323,3.5819
S2N,1.7624867583781545,1.7095000000000002
N4Cl,2.04654903873433,0.04949999999999988
KN3,1.9328560196138618,4.1558
CaN6,2.14381851285056,3.5448999999999997
ScN,3.3399922943509828,2.4464
Ti19N25,4.292537252429669,0.0031999999999996476
CrN2,1.9424176791197187,0.11450000000000005
CoN12,1.6125695652598646,0.3037000000000001
CuN3,3.0481357270395946,1.5400000000000003
ZnN6,2.2851481902686226,2.902
GaN,4.143879539961921,0.07529999999999992
Ge3N4,6.337876487489494,1.9177
AsN9,2.2554182390398045,3.1511
SeN,3.532757764906477,1.9581999999999997
BrN4,2.813378732027276,0.08150000000000013
RbN3,2.5674194546334994,3.7529
SrN6,2.6156484954858765,3.7752
YN,5.5992917166956175,0.21440000000000037
Zr3N4,6.92932142113437,0.6807999999999996
Nb3N5,5.454902060081282,0.7012999999999994
Mo2N3,4.448425614396637,0.006699999999999928
PdN2,6.5886461306475885,0.5505999999999993
AgN3,4.322438318110006,1.5981
CdN6,3.0629096510983214,2.7759
InN,6.6418908932944705,9.999999999976694e-05
Sn3N4,7.164963867651282,0.23399999999999999
SbN,5.796316961051769,1.3441
