Pretty Formula,Density,Energy,Energy_per_Atom,Volume,Formation_Energy_per_Atom,Band Gap
Sn3N4,7.164963867651282,-87.67394877,-6.262424912142857,191.04142592859247,0.00015810006857159515,0.23399999999999999
Sn4P3,5.636036716580478,-32.49998667,-4.642855238571428,167.27885714974877,-0.03328769234693851,0.031500000000000306
Sn3As4,5.408431686873784,-30.91069231,-4.415813187142858,201.35388562182825,-0.0415904278571431,0.3924000000000003
SnO,5.069638371689286,-442.09113341,-5.526139167625,1764.9402293003293,-1.4082328494999998,0.4814999999999996
SnS2,3.6700893822586775,-13.4033375,-4.467779166666666,82.72631166458072,-0.8217009943749994,1.4367999999999999
SnSe,5.954625217882196,-33.33494341,-4.16686792625,220.4933073208865,-0.41741949804687506,0.4098999999999995
SnTe,6.190813061493524,-7.72291574,-3.86145787,66.06682626009183,-0.2855515825000001,0.04279999999999973
Sn3F8,4.47251714302877,-106.8050343,-4.854774286363637,377.30363597171333,-2.728174885865455,3.1504
SnCl4,2.0829765592048295,-64.2307502,-3.2115375100000003,830.7476142583697,-1.406577239608,3.5509999999999997
SnBr4,2.994719808484426,-55.98776015,-2.7993880075,972.1876927316221,-0.6942966944999999,2.7003
SnI4,3.479111679593026,-11.86615424,-2.373230848,298.93892244990985,-0.35610396699999997,1.5624
PbN6,4.475042925388195,-609.35991798,-7.254284737857143,1296.8341895637727,0.09090169867428563,2.2879000000000005
P7Pb,3.898113209125167,-166.35456636,-5.19858019875,722.4989510888995,-0.0023261531250007295,0.8272000000000004
Pb2O3,9.254250036656503,-53.02833177,-5.302833177,165.94111031889508,-1.2863952902500002,1.0725999999999996
PbS,7.308180715145071,-8.91347052,-4.45673526,54.36494921126387,-0.8737900270312506,0.5556000000000001
PbSe,7.936489392183439,-16.4473387,-4.111834675,119.7456024207376,-0.5163490042968748,0.8605999999999998
TePb,7.289780498935067,-30.12685909,-3.76585738625,305.0563570045578,-0.3439138562499999,1.0051999999999994
PbF3,6.573320898004783,-71.3336392,-4.45835245,266.96183955050446,-2.4675718671424995,1.9099000000000002
PbCl2,5.77530785647042,-86.00010666,-3.5833377775,639.696974409219,-1.5136131496733334,3.0355999999999996
PbBr2,6.261927469428878,-38.82240858,-3.235200715,389.2929868431729,-0.9153668850000001,3.1231999999999998
PbI2,5.34291953212874,-61.34767801,-2.9213180004761905,1002.9466785695926,-0.6747878638095243,2.4097999999999997
P3N5,2.693616412033323,-120.59198257,-7.536998910625,200.91411880252375,-0.5380309129160707,3.5819
AsN9,2.2554182390398045,-292.76960131,-7.31924003275,591.8871906001041,0.3027691106079999,3.1511
SbN,5.796316961051769,-23.29277894,-5.823194735,77.78936424520849,0.21671446880999934,1.3441
BiN,9.897901795906273,-21.73145026,-5.432862565,74.8196522053855,0.4924959963100006,0.8056999999999999
NO4,2.0936240082276054,-102.53863676,-5.126931838,247.4736340982777,-0.1553052474760001,0.33299999999999996
S2N,1.7624867583781545,-122.37856961,-5.099107067083334,588.9362410922777,-0.13867064725166736,1.7095000000000002
SeN,3.532757764906477,-81.52143568,-5.09508973,349.5848740119995,0.625896069513125,1.9581999999999997
N2F,1.4712280503517579,-140.34547811,-5.847728254583333,424.48855993865686,-0.07256341823333183,0.8492999999999999
N4Cl,2.04654903873433,-120.17602339,-6.0088011695,296.9013229516098,0.6039467759440008,0.04949999999999988
BrN4,2.813378732027276,-118.37928663,-5.9189643315,320.9214565659034,0.7688163745960012,0.08150000000000013
IN5,4.863884001821942,-59.95660388,-4.996383656666667,134.46997811660415,1.883853039683333,0.0343
AsP,4.494691004631642,-9.91442182,-4.95721091,39.12246305134907,0.07160713642857175,0.23350000000000026
P4O9,2.3214560618201925,-362.36883659,-6.968631472884615,766.4865620020731,-2.3780996180631866,5.5685
P4S9,1.6979265980673999,-244.05407687,-4.693347632115384,1613.5897127818828,-0.6303519232795327,2.697
P2Se5,3.3669062093538824,-113.33504348,-4.047680124285714,901.0611497501556,-0.009525016750637454,1.3289
PF5,2.2864841939671856,-60.32641543,-5.027201285833333,182.9630772212327,-2.9417771163488093,7.0881
PCl3,1.5444091026304012,-54.97845216,-3.43615326,590.6373185281677,-1.1433164404807146,4.0342
PBr3,2.516563171089329,-47.42959217,-2.964349510625,714.4414740498376,-0.3901398386607142,3.3255
PI2,3.3323308932917364,-17.26500723,-2.8775012049999997,283.82103082239473,-0.06153026238095194,1.8951000000000002
AsO2,3.710884059811884,-209.46055127,-5.8183486463888885,574.1343426873314,-1.451457937222222,0.12110000000000004
AsS,2.8780895576239347,-144.87748824,-4.5274215075,987.6297314585638,-0.47129136703125063,1.9449999999999998
As2Se3,4.284021407313482,-81.43157534,-4.071578767,599.5945493432381,-0.11874242215624946,1.4354000000000002
Te3As2,6.047493522604306,-18.76182898,-3.7523657960000003,146.25477889055028,-0.007780020000000576,0.4034000000000004
AsF3,3.063385396908514,-75.59198644,-4.7244991525,286.0273638362436,-2.4971261158924998,5.3681
AsCl5,1.9773345902547554,-33.01389315,-2.7511577625,423.56584133888146,-0.9316416577166668,1.4384000000000001
AsBr3,3.024080987057596,-45.63013136,-2.85188321,691.0679685256632,-0.46816168874999997,3.1283
AsI3,4.243515946054946,-20.02552512,-2.50319064,356.5909645275049,-0.20193577375000027,2.2308000000000003
BiSb,7.940451780461478,-8.03237407,-4.016187035,69.16575548718936,-0.003391457499999362,0.15910000000000046
SbO2,5.289689322494436,-282.1675726,-5.878491095833334,772.2872919822842,-1.6850988950000005,0.9338000000000006
