Step Time Temp Press Volume PotEng KinEng TotEng Enthalpy
19000 18.999 300.351814163094 19334.4670650692 47241.633375 -3.50132913168201 0.0388138131699721 -13850.0612740482 -13279.9669026796
20000 19.999 301.750673046517 19276.8953214453 47241.633375 -3.50150967781807 0.0389945846679025 -13850.0603726007 -13281.6635565295
21000 20.999 298.853610652394 19391.0734184517 47241.633375 -3.50113518803591 0.0386202035814403 -13850.0599378179 -13278.2964765624
22000 21.999 301.210527908953 19311.7417879207 47241.633375 -3.50143960917532 0.0389247828839095 -13850.0593051656 -13280.6350092921
23000 22.999 298.115457535952 19478.2051243164 47241.633375 -3.5010395297291 0.0385248136560215 -13850.0588642923 -13275.7262453293
24000 23.999 300.670636260872 19359.3020596385 47241.633375 -3.50136995397611 0.0388550138578125 -13850.0597604732 -13279.2331066699
25000 24.999 295.528205645031 19624.8435643809 47241.633375 -3.50070519762006 0.0381904687085882 -13850.0589156459 -13271.4025287183
26000 25.999 302.277839050262 19304.0700945625 47241.633375 -3.50157764181114 0.039062709186597 -13850.0597304982 -13280.8616414907
27000 26.999 297.306103438066 19495.1765769227 47241.633375 -3.50093467522097 0.0384202225822795 -13850.0578105548 -13275.2247728539
28000 27.999 303.193301845074 19275.9416396993 47241.633375 -3.5016959675463 0.0391810124569832 -13850.0598203573 -13281.6911244611
29000 28.999 296.640263413813 19441.989071012 47241.633375 -3.5008489046825 0.0383341775208423 -13850.0589086466 -13276.7941530011
30000 29.999 295.217584622954 19487.2967578394 47241.633375 -3.50066465335379 0.0381503278279641 -13850.0573021033 -13275.4566080452
31000 30.999 297.457562452123 19475.9048126717 47241.633375 -3.50095427340044 0.0384397953019945 -13850.0579123938 -13275.7931202148
32000 31.999 298.405009164072 19385.7571590257 47241.633375 -3.50107689811213 0.0385622317845859 -13850.0586653102 -13278.451958806
33000 32.999 301.002468833198 19329.8677694186 47241.633375 -3.50141239927157 0.0388978958610454 -13850.0580136421 -13280.0992566948
34000 33.999 295.502851335054 19537.9512090844 47241.633375 -3.50070110020493 0.0381871922261297 -13850.0556319152 -13273.9613452257
35000 34.999 299.054238294109 19428.1467307438 47241.633375 -3.50120284815503 0.0386461302562099 -13850.2268715953 -13277.3702699603
36000 35.999 303.040336710844 19227.9148872274 47241.633375 -3.50171805145333 0.0391612451046265 -13850.2272253948 -13283.2746420383
37000 36.999 295.971075422046 19508.852195791 47241.633375 -3.50080380537793 0.0382476998088284 -13850.2244222764 -13274.9881464974
38000 37.999 299.853801143753 19403.1857157443 47241.633375 -3.50130563503158 0.0387494560281891 -13850.2247160136 -13278.1041126405
39000 38.999 298.280471436084 19495.6574152573 47241.633375 -3.50110224487868 0.0385461380442495 -13850.2244273377 -13275.3772116807
40000 39.999 304.915825293472 19183.6297263429 47241.633375 -3.50195988298441 0.0394036104242813 -13850.2250902405 -13284.5782951879
41000 40.999 301.597133453604 19295.3746717802 47241.633375 -3.50153124286349 0.0389747430794968 -13850.225999136 -13281.2843025891
42000 41.999 297.941064965379 19418.80101 47241.633375 -3.50105865704153 0.0385022772825646 -13850.2255190359 -13277.6444844891
43000 42.999 296.586732393292 19531.7219612523 47241.633375 -3.50088336183134 0.0383272598232246 -13850.2244080325 -13274.3137963889
44000 43.999 300.740774873982 19311.3099231647 47241.633375 -3.50141983006605 0.0388640777185814 -13850.2230093899 -13280.811447442
45000 44.999 296.034859993122 19478.9067533425 47241.633375 -3.50081154031296 0.0382559425505337 -13850.2223910497 -13275.8690839158
46000 45.999 297.557884423131 19451.0114969028 47241.633375 -3.50100890926846 0.0384527596926055 -13850.2245983034 -13276.6938082128
47000 46.999 298.067484649221 19425.2153942091 47241.633375 -3.50107531865002 0.0385186142239722 -13850.2268177042 -13277.4566491968
48000 47.999 297.898832170649 19465.4610353951 47241.633375 -3.50105340127493 0.0384968196301484 -13850.2263265791 -13276.2694786853
49000 48.999 300.20658346726 19343.043201848 47241.633375 -3.50135167618139 0.0387950453223054 -13850.2265234363 -13279.8792768636
